approach,accuracy,macro_f1,weighted_f1
ML only,0.5,0.4466969174920302,0.4974407418309336
Rules only,0.15757575757575756,0.19101518355329125,0.18435339776770335
Hybrid,0.5333333333333333,0.46860954719951936,0.5312687291348723
