approach,accuracy,macro_f1,weighted_f1,evaluation_clauses,ml_predictions,rule_predictions
Character TF-IDF ML only,0.5,0.4466969174920302,0.4974407418309336,330,330,0
Final hybrid ML + rules,0.5333333333333333,0.46860954719951936,0.5312687291348723,330,288,42
