experiment,training_rows,phase5_rows,accuracy,macro_f1,weighted_f1
ablation_without_phase5,4853,0,0.4696969696969697,0.42365906684666477,0.47539784343258185
ablation_with_phase5,5041,188,0.5,0.4466969174920302,0.4974407418309336
difference_with_minus_without,188,188,0.030303030303030276,0.023037850645365454,0.022042898398351773
