model,accuracy,macro_f1,weighted_f1,average_confidence,selected
word_lr_balanced,0.43333333333333335,0.377036960713596,0.46214756303265486,0.2598697857768596,no
char_lr_balanced,0.5,0.4466969174920302,0.4974407418309336,0.31186206305719893,yes
word_char_lr_balanced,0.48484848484848486,0.4022221235913173,0.4951583107557029,0.34563609048155663,no
